ref_id,reference,primary_genes,mitochondrial_processes,senescence_terms,omics_or_methods,knowledge_role,knowledge_role_detail,classification_basis
17,"Chan, D.C. (2012). Fusion and fission: interlinked processes critical for mitochondrial health. Annual Review of Genetics, 46, 265–287. https://doi.org/10.1146/annurev-genet-110410-132529",,mitochondrial fission; mitochondrial fusion; mitochondrial function,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
18,"Lazarou, M., Sliter, D.A., Kane, L.A., Sarraf, S.A., Wang, C., Burman, J.L., Sideris, D.P., Fogel, A.I., & Youle, R.J. (2015). The ubiquitin kinase PINK1 recruits autophagy receptors to induce mitophagy. Nature, 524(7565), 309–314. https://doi.org/10.1038/nature14893",PINK1,mitophagy; mitochondrial quality control,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
19,"Hayflick, L., & Moorhead, P.S. (1961). Serial cultivation of human diploid cell strains. Experimental Cell Research, 25(3), 585–621. https://doi.org/10.1016/0014-4827(61)90192-6",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
20,"Hayflick, L. (1965). The limited in vitro lifetime of human diploid cell strains. Experimental Cell Research, 37(3), 614–636. https://doi.org/10.1016/0014-4827(65)90211-9",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
21,"Campisi, J. (2013). Aging, cellular senescence, and cancer. Annual Review of Physiology, 75, 685–705. https://doi.org/10.1146/annurev-physiol-030212-183653",,,cellular senescence; senescence; aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
22,"Gorgoulis, V., Adams, P.D., Alimonti, A., Bennett, D.C., Bischof, O., Bishop, C., Campisi, J., Collado, M., Evangelou, K., Ferbeyre, G., Gil, J., Hara, E., Krizhanovsky, V., Jurk, D., Maier, A.B., Narita, M., Niedernhofer, L., Passos, J.F., Robbins, P.D., Schmitt, C.A., Sedivy, J., Vougas, K., von Zglinicki, T., Zhou, D., Serrano, M., & Demaria, M. (2019). Cellular senescence: defining a path forward. Cell, 179(4), 813–827. https://doi.org/10.1016/j.cell.2019.10.005",,,cellular senescence; senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
23,"Sharpless, N.E., & Sherr, C.J. (2015). Forging a signature of in vivo senescence. Nature Reviews Cancer, 15(7), 397–408. https://doi.org/10.1038/nrc3960",,NAD metabolism,senescence,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
24,"Acosta, J.C., Banito, A., Wuestefeld, T., Georgilis, A., Janich, P., Morton, J.P., Athineos, D., Kang, T.W., Lasitschka, F., Andrulis, M., Pascual, G., Morris, K.J., Khan, S., Jin, H., Dharmalingam, G., Snijders, A.P., Carroll, T., Capper, D., Pritchard, C., Inman, G.J., Longerich, T., Sansom, O.J., Benitah, S.A., Zender, L., & Gil, J. (2013). A complex secretory program orchestrated by the inflammasome controls paracrine senescence. Nature Cell Biology, 15(8), 978–990. https://doi.org/10.1038/ncb2784",,,senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
25,"Rodier, F., & Campisi, J. (2011). Four faces of cellular senescence. Journal of Cell Biology, 192(4), 547–556. https://doi.org/10.1083/jcb.201009094",,,cellular senescence; senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
26,"Dimri, G.P., Lee, X., Basile, G., Acosta, M., Scott, G., Roskelley, C., Medrano, E.E., Linskens, M., Rubelj, I., Pereira-Smith, O., Peacocke, M., & Campisi, J. (1995). A biomarker that identifies senescent human cells in culture and in aging skin in vivo. Proceedings of the National Academy of Sciences, 92(20), 9363–9367. https://doi.org/10.1073/pnas.92.20.9363",,mitochondrial ROS,senescent; aging,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
27,"Debacq-Chainiaux, F., Erusalimsky, J.D., Campisi, J., & Toussaint, O. (2009). Protocols to detect senescence-associated beta-galactosidase (SA-βgal) activity, a biomarker of senescent cells in culture and in vivo. Nature Protocols, 4(12), 1798–1806. https://doi.org/10.1038/nprot.2009.191",,,senescence; senescent,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
28,"Hernandez-Segura, A., de Jong, T.V., Melov, S., Guryev, V., Campisi, J., & Demaria, M. (2017). Unmasking transcriptional heterogeneity in senescent cells. Current Biology, 27(17), 2652–2660. https://doi.org/10.1016/j.cub.2017.07.033",,,senescent,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
29,"Saul, D., Khosla, S., Kaufmann, S.H., & Farr, J.N. (2022). A new gene set identifies senescent cells and predicts senescence-associated pathways across tissues. Nature Communications, 13(1), 4827. https://doi.org/10.1038/s41467-022-32552-1",,mitochondrial ROS,senescence; senescent,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
30,"Sen, P., Shah, P.P., Nativio, R., & Berger, S.L. (2016). Epigenetic mechanisms of longevity and aging. Cell, 166(4), 822–839. https://doi.org/10.1016/j.cell.2016.07.050",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
31,"Lowe, D., Horvath, S., & Raj, K. (2016). Epigenetic clock analyses of cellular senescence and ageing. Oncotarget, 7(8), 8524–8531. https://doi.org/10.18632/oncotarget.7383",,,cellular senescence; senescence; ageing,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
32,"Coppé, J.P., Patil, C.K., Rodier, F., Sun, Y., Muñoz, D.P., Goldstein, J., Nelson, P.S., Desprez, P.Y., & Campisi, J. (2008). Senescence-associated secretory phenotypes reveal cell-nonautonomous functions of oncogenic RAS and the p53 tumor suppressor. PLoS Biology, 6(12), e301. https://doi.org/10.1371/journal.pbio.0060301",,,senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
33,"Coppé, J.P., Desprez, P.Y., Krtolica, A., & Campisi, J. (2010). The senescence-associated secretory phenotype: the dark side of tumor suppression. Annual Review of Pathology, 5, 99–118. https://doi.org/10.1146/annurev-pathol-121808-102144",,,senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
34,"Basisty, N., Kale, A., Jeon, O.H., Kuehnemann, C., Payne, T., Rao, C., Holtz, A., Shah, S., Sharma, V., Ferrucci, L., Campisi, J., & Schilling, B. (2020). A proteomic atlas of senescence-associated secretomes for aging biomarker development. PLOS Biology, 18(1), e3000599. https://doi.org/10.1371/journal.pbio.3000599",,,senescence; aging,proteom,Methodologically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
35,"Dou, Z., Ghosh, K., Vizioli, M.G., Zhu, J., Sen, P., Wangensteen, K.J., Simithy, J., Lan, Y., Lin, Y., Zhou, Z., Capell, B.C., Xu, C., Xu, M., Kieckhaefer, J.E., Jiang, T., Shoshkes-Carmel, M., Tanim, K.M.A.A., Barber, G.N., Seykora, J.T., & Berger, S.L. (2017). Cytoplasmic chromatin triggers inflammation in senescence and cancer. Nature, 550(7676), 402–406. https://doi.org/10.1038/nature24050",,mtDNA/cGAS-STING,senescence,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
36,"Glück, S., Guey, B., Gulen, M.F., Wolter, K., Kang, T.W., Schmacke, N.A., Bridgeman, A., Rehwinkel, J., Zender, L., & Ablasser, A. (2017). Innate immune sensing of cytosolic chromatin fragments through cGAS promotes senescence. Nature Cell Biology, 19(9), 1061–1070. https://doi.org/10.1038/ncb3586",,mtDNA/cGAS-STING,senescence,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
37,"Vizioli, M.G., Liu, T., Miller, K.N., Robertson, N.A., Gilroy, K., Lagnado, A.B., Perez-Garcia, A., Kiourtis, C., Dasgupta, N., Lei, X., Kruger, P.J., Nixon, C., Clark, W., Jurk, D., Bird, T.G., Passos, J.F., Berger, S.L., Dou, Z., & Adams, P.D. (2020). Mitochondria-to-nucleus retrograde signaling drives formation of cytoplasmic chromatin and inflammation in senescence. Genes and Development, 34(5–6), 428–445. https://doi.org/10.1101/gad.331272.119",,mtDNA/cGAS-STING,senescence,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
38,"Decout, A., Katz, J.D., Venkatraman, S., & Ablasser, A. (2021). The cGAS–STING pathway as a therapeutic target in inflammatory diseases. Nature Reviews Immunology, 21(9), 548–569. https://doi.org/10.1038/s41577-021-00524-z",,mtDNA/cGAS-STING,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
39,"Demaria, M., Ohtani, N., Youssef, S.A., Rodier, F., Toussaint, W., Mitchell, J.R., Laberge, R.M., Vijg, J., Van Steeg, H., Dollé, M.E., Hoeijmakers, J.H., de Bruin, A., Hara, E., & Campisi, J. (2014). An essential role for senescent cells in optimal wound healing through secretion of PDGF-AA. Developmental Cell, 31(6), 722–733. https://doi.org/10.1016/j.devcel.2014.11.012",,,senescent,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
40,"Muñoz-Espín, D., Cañamero, M., Maraver, A., Gómez-López, G., Contreras, J., Murillo-Cuesta, S., Rodríguez-Baeza, A., Varela-Nieto, I., Ruberte, J., Collado, M., & Serrano, M. (2013). Programmed cell senescence during mammalian embryonic development. Cell, 155(5), 1104–1118. https://doi.org/10.1016/j.cell.2013.10.019",,,senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
41,"van Deursen, J.M. (2014). The role of senescent cells in ageing. Nature, 509(7501), 439–446. https://doi.org/10.1038/nature13193",,,senescent; ageing,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
42,"Chaib, S., Tchkonia, T., & Kirkland, J.L. (2022). Cellular senescence and senolytics: the path to the clinic. Nature Medicine, 28(8), 1556–1568. https://doi.org/10.1038/s41591-022-01923-y",,,cellular senescence; senescence,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
43,"Kirkland, J.L., & Tchkonia, T. (2020). Senolytic drugs: from discovery to translation. Journal of Internal Medicine, 288(5), 518–536. https://doi.org/10.1111/joim.13141",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
44,"Nunnari, J., & Suomalainen, A. (2012). Mitochondria: in sickness and in health. Cell, 148(6), 1145–1159. https://doi.org/10.1016/j.cell.2012.02.035",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
45,"Rath, S., Sharma, R., Gupta, R., Ast, T., Chan, C., Durham, T.J., Goodman, R.P., Grabarek, Z., Haas, M.E., Hung, W.H.W., Joshi, P.R., Jourdain, A.A., Kim, S.H., Kotrys, A.V., Lam, S.S., McCoy, J.G., Meisel, J.D., Miranda, M., Panda, A., Patgiri, A., Rajasekharan, S., Robichaud, S., Rodriguez, D.A., Rutter, J., Sadre, S., Salomonis, N., Sarosiek, K.A., Shulha, H.P., Zarber, E., & Mootha, V.K. (2021). MitoCarta3.0: an updated mitochondrial proteome now with sub-organelle localization and pathway annotations. Nucleic Acids Research, 49(D1), D1541–D1547. https://doi.org/10.1093/nar/gkaa1011",,mitochondrial ROS,,proteom,Mechanistically relevant,Methods/pipeline knowledge,Automated keyword classification from reference metadata/title text; requires audit
46,"Wallace, D.C. (2005). A mitochondrial paradigm of metabolic and degenerative diseases, aging, and cancer: a dawn for evolutionary medicine. Annual Review of Genetics, 39, 359–407. https://doi.org/10.1146/annurev.genet.39.110304.095751",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
47,"Spinelli, J.B., & Haigis, M.C. (2018). The multifaceted contributions of mitochondria to cellular metabolism. Nature Cell Biology, 20(7), 745–754. https://doi.org/10.1038/s41556-018-0124-1",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
48,"Tilokani, L., Nagashima, S., Paupe, V., & Prudent, J. (2018). Mitochondrial dynamics: overview of molecular mechanisms. Essays in Biochemistry, 62(3), 341–360. https://doi.org/10.1042/EBC20170104",,,,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
49,"Onishi, M., Yamano, K., Sato, M., Matsuda, N., & Okamoto, K. (2021). Molecular mechanisms and physiological functions of mitophagy. EMBO Journal, 40(3), e104705. https://doi.org/10.15252/embj.2020104705",,mitophagy; mitochondrial quality control,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
50,"Narendra, D.P., Jin, S.M., Tanaka, A., Suen, D.F., Gautier, C.A., Shen, J., Cookson, M.R., & Youle, R.J. (2010). PINK1 is selectively stabilized on impaired mitochondria to activate Parkin. PLOS Biology, 8(1), e1000298. https://doi.org/10.1371/journal.pbio.1000298",PINK1; PRKN/PARK2,mitophagy,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
51,"Sandoval, H., Thiagarajan, P., Dasgupta, S.K., Schumacher, A., Prchal, J.T., Chen, M., & Wang, J. (2008). Essential role for Nix in autophagic maturation of erythroid cells. Nature, 454(7201), 232–235. https://doi.org/10.1038/nature07006",,,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
52,"Palikaras, K., Lionaki, E., & Tavernarakis, N. (2015). Coordination of mitophagy and mitochondrial biogenesis during ageing in C. elegans. Nature, 521(7553), 525–528. https://doi.org/10.1038/nature14300",,mitophagy; mitochondrial quality control,ageing,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
53,"Aman, Y., Schmauck-Medina, T., Hansen, M., Morimoto, R.I., Simon, A.K., Bjedov, I., Papamichos-Chronakis, M., Simonsen, A., & Fang, E.F. (2021). Autophagy in healthy aging and disease. Nature Aging, 1(8), 634–650. https://doi.org/10.1038/s43587-021-00098-4",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
54,"Murphy, M.P. (2009). How mitochondria produce reactive oxygen species. Biochemical Journal, 417(1), 1–13. https://doi.org/10.1042/BJ20081386",,mitochondrial ROS,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
55,"Schieber, M., & Chandel, N.S. (2014). ROS function in redox signaling and oxidative stress. Current Biology, 24(10), R453–R462. https://doi.org/10.1016/j.cub.2014.03.034",,mitochondrial ROS,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
56,"Balaban, R.S., Nemoto, S., & Finkel, T. (2005). Mitochondria, oxidants, and aging. Cell, 120(4), 483–495. https://doi.org/10.1016/j.cell.2005.02.001",,,aging,,Background,Background,Automated keyword classification from reference metadata/title text; requires audit
57,"Passos, J.F., Nelson, G., Wang, C., Richter, T., Simillion, C., Proctor, C.J., Miwa, S., Olijslagers, S., Hallinan, J., Wipat, A., Saretzki, G., Rudolph, K.L., Kirkwood, T.B.L., & von Zglinicki, T. (2010). Feedback between p21 and reactive oxygen production is necessary for cell senescence. Molecular Systems Biology, 6, 347. https://doi.org/10.1038/msb.2010.5",,mitochondrial ROS,senescence; p21,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
58,"Losón, O.C., Song, Z., Chen, H., & Chan, D.C. (2013). Fis1, Mff, MiD49, and MiD51 mediate Drp1 recruitment in mitochondrial fission. Molecular Biology of the Cell, 24(5), 659–667. https://doi.org/10.1091/mbc.E12-10-0721",DNM1L,mitochondrial fission,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
59,"Nagashima, S., Tabara, L.C., Tilokani, L., Paupe, V., Plecitá-Hlаватá, L., Ježek, P., & Prudent, J. (2020). Golgi-derived PI(4)P-containing vesicles drive late steps of mitochondrial division. Science, 367(6483), 1366–1371. https://doi.org/10.1126/science.aax6089",,mitochondrial fission,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
60,"Kalia, R., Wang, R.Y.-R., Yusuf, A., Thomas, P.V., Agard, D.A., Shaw, J.M., & Frost, A. (2018). Structural basis of mitochondrial receptor binding and constriction by DRP1. Nature, 558(7710), 401–405. https://doi.org/10.1038/s41586-018-0211-2",DNM1L,mitochondrial fission; mitochondrial ROS,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
61,"Taguchi, N., Ishihara, N., Jofuku, A., Oka, T., & Mihara, K. (2007). Mitotic phosphorylation of dynamin-related GTPase Drp1 participates in mitochondrial fission. Journal of Biological Chemistry, 282(15), 11521–11529. https://doi.org/10.1074/jbc.M607279200",DNM1L,mitochondrial fission,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
62,"Kashatus, J.A., Nascimento, A., Myers, L.J., Sher, A., Byrne, F.L., Hoehn, K.L., Counter, C.M., & Kashatus, D.F. (2015). Erk2 phosphorylation of Drp1 promotes mitochondrial fission and MAPK-driven tumor growth. Molecular Cell, 57(3), 537–551. https://doi.org/10.1016/j.molcel.2015.01.002",DNM1L,mitochondrial fission,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
63,"Park, Y.Y., Lee, S., Karbowski, M., Neutzner, A., Youle, R.J., & Cho, H. (2010). Loss of MARCH5 mitochondrial E3 ubiquitin ligase induces cellular senescence through dynamin-related protein 1 and mitofusin 1. Journal of Cell Science, 123(4), 619–626. https://doi.org/10.1242/jcs.061481",DNM1L,mitochondrial fusion,cellular senescence; senescence,,Directly relevant,Core mechanistic evidence,Automated keyword classification from reference metadata/title text; requires audit
64,"Mai, S., Klinkenberg, M., Auburger, G., Bereiter-Hahn, J., & Jendrach, M. (2010). Decreased expression of Drp1 and Fis1 mediates mitochondrial elongation in senescent cells and enhances resistance to oxidative stress through PINK1. Journal of Cell Science, 123(6), 917–926. https://doi.org/10.1242/jcs.059246",DNM1L; PINK1,mitochondrial fission; mitophagy; mitochondrial ROS,senescent,,Directly relevant,Core mechanistic evidence,Automated keyword classification from reference metadata/title text; requires audit
65,"Lee, S., Jeong, S.Y., Lim, W.C., Kim, S., Park, Y.Y., Sun, X., Youle, R.J., & Cho, H. (2007). Mitochondrial fission and fusion mediators, hFis1 and OPA1, modulate cellular senescence. Journal of Biological Chemistry, 282(31), 22977–22983. https://doi.org/10.1074/jbc.M700679200",OPA1,mitochondrial fission; mitochondrial fusion,cellular senescence; senescence,,Directly relevant,Core mechanistic evidence,Automated keyword classification from reference metadata/title text; requires audit
66,"You, Y., Chen, X., Chen, Y., Pang, J., Chen, Q., Liu, Q., Xue, H., Zeng, Y., Xiao, J., Mi, J., Tang, Y., & Ling, W. (2023). Epigenetic modulation of Drp1-mediated mitochondrial fission by inhibition of S-adenosylhomocysteine hydrolase promotes vascular senescence and atherosclerosis. Redox Biology, 65, 102828. https://doi.org/10.1016/j.redox.2023.102828",DNM1L,mitochondrial fission; mitochondrial ROS,senescence,,Directly relevant,Core gene/mechanism evidence,Automated keyword classification from reference metadata/title text; requires audit
67,"Frezza, C., Cipolat, S., Martins de Brito, O., Micaroni, M., Beznoussenko, G.V., Rudka, T., & Scorrano, L. (2006). OPA1 controls apoptotic cristae remodeling independently from mitochondrial fusion. Cell, 126(1), 177–189. https://doi.org/10.1016/j.cell.2006.06.025",OPA1,mitochondrial fusion,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
68,"Cogliati, S., Frezza, C., Soriano, M.E., Varanita, T., Quintana-Cabrera, R., Corrado, M., Cipolat, S., Costa, V., Casarin, A., Gomes, L.C., Perales-Clemente, E., Salviati, L., Fernandez-Silva, P., Enriquez, J.A., & Scorrano, L. (2013). Mitochondrial cristae shape determines respiratory chain supercomplexes assembly and respiratory efficiency. Cell, 155(1), 160–171. https://doi.org/10.1016/j.cell.2013.08.032",,mitochondrial function; NAD metabolism,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
69,"Anand, R., Wai, T., Baker, M.J., Kladt, N., Schauss, A.C., Rugarli, E., & Langer, T. (2014). The i-AAA protease YME1L and OMA1 cleave OPA1 to balance mitochondrial fusion and fission. Journal of Cell Biology, 204(6), 919–929. https://doi.org/10.1083/jcb.201308006",OPA1,mitochondrial fission; mitochondrial fusion,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
70,"Langer, T. (2016). OPA1 processing in cell death and disease — the long and short of it. Journal of Cell Science, 129(12), 2297–2306. https://doi.org/10.1242/jcs.159186",OPA1,mitochondrial fusion,,,Peripheral,Peripheral,Automated keyword classification from reference metadata/title text; requires audit
71,"Del Dotto, V., Mishra, P., Vidoni, S., Fogazza, M., Maresca, A., Caporali, L., McCaffery, J.M., Cappelletti, M., Baruffini, E., Lenaers, G., Chan, D., Rugolo, M., & Carelli, V. (2021). Identification of the new OPA1 cleavage site reveals that short isoforms regulate mitochondrial fusion. Molecular Biology of the Cell, 32(2), 180–197. https://doi.org/10.1091/mbc.E20-09-0605",OPA1,mitochondrial fusion,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
72,"Fry, M.Y., Navarro, P.P., Hakim, P., Ananda, V.Y., Qin, X., Landoni, J.C., Rath, S., Inde, Z., Lugo, C.M., Luce, B.E., Ge, Y., McDonald, J.L., Ali, I., Ha, L.L., Kleinstiver, B.P., Chan, D.C., Sarosiek, K.A., & Chao, L.H. (2024). In situ architecture of Opa1-dependent mitochondrial cristae remodeling. EMBO Journal, 43(3), 391–413. https://doi.org/10.1038/s44318-024-00027-2",OPA1,mitochondrial fusion; mitochondrial ROS,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
73,"Lee, H., Smith, S.B., & Yoon, Y. (2017). The short variant of the mitochondrial dynamin OPA1 maintains mitochondrial energetics and cristae structure. Journal of Biological Chemistry, 292(17), 7115–7130. https://doi.org/10.1074/jbc.M116.762567",OPA1,mitochondrial fusion,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
74,"Chen, H., Detmer, S.A., Ewald, A.J., Griffin, E.E., Fraser, S.E., & Chan, D.C. (2003). Mitofusins Mfn1 and Mfn2 coordinately regulate mitochondrial fusion and are essential for embryonic development. Journal of Cell Biology, 160(2), 189–200. https://doi.org/10.1083/jcb.200211046",MFN1; MFN2,mitochondrial fusion,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
75,"de Brito, O.M., & Scorrano, L. (2008). Mitofusin 2 tethers endoplasmic reticulum to mitochondria. Nature, 456(7222), 605–610. https://doi.org/10.1038/nature07534",MFN2,mitochondrial fusion,,,Mechanistically relevant,Mechanistic support,Automated keyword classification from reference metadata/title text; requires audit
